ITME,SIZE,WHOLESALE PRICE,# ORDERED,RETAIL PRICE,CATEGORY,Description
Black Shiny Leopard Textured Leggings,S,3.5,3,24.5,Bottoms,Black Shiny Leopard Textured Leggings
Black Shiny Leopard Textured Leggings,M,3.5,3,24.5,Bottoms,Black Shiny Leopard Textured Leggings
Black Shiny Leopard Textured Leggings,L,3.5,3,24.5,Bottoms,Black Shiny Leopard Textured Leggings
Black Shiny Leopard Textured Leggings,XL,3.5,3,24.5,Bottoms,Black Shiny Leopard Textured Leggings
White Distressed Frayed Denim Shorts,6,8.5,2,27.5,Bottoms,White Distressed Frayed Denim Shorts
White Distressed Frayed Denim Shorts,8,8.5,4,27.5,Bottoms,White Distressed Frayed Denim Shorts
White Distressed Frayed Denim Shorts,10,8.5,4,27.5,Bottoms,White Distressed Frayed Denim Shorts
White Distressed Frayed Denim Shorts,12,8.5,4,27.5,Bottoms,White Distressed Frayed Denim Shorts
White Distressed Frayed Denim Shorts,14,8.5,3,27.5,Bottoms,White Distressed Frayed Denim Shorts
White Distressed Frayed Denim Shorts,16,8.5,2,27.5,Bottoms,White Distressed Frayed Denim Shorts
White Smocked Wrist Shift Top,S,4.7,3,26.5,Top,White Smocked Wrist Shift Top
White Smocked Wrist Shift Top,M,4.7,3,26.5,Top,White Smocked Wrist Shift Top
White Smocked Wrist Shift Top,L,4.7,3,26.5,Top,White Smocked Wrist Shift Top
White Smocked Wrist Shift Top,XL,4.7,3,26.5,Top,White Smocked Wrist Shift Top
White Smocked Wrist Shift Top,2XL,4.7,3,26.5,Top,White Smocked Wrist Shift Top
Green Smocked Wrist Shift Top,S,4.7,3,26,Top,Green Smocked Wrist Shift Top
Green Smocked Wrist Shift Top,M,4.7,3,26.5,Top,Green Smocked Wrist Shift Top
Green Smocked Wrist Shift Top,L,4.7,3,26.5,Top,Green Smocked Wrist Shift Top
Green Smocked Wrist Shift Top,XL,4.7,3,26.5,Top,Green Smocked Wrist Shift Top
Green Smocked Wrist Shift Top,2XL,4.7,3,26.5,Top,Green Smocked Wrist Shift Top
Blue Raw Hem Ankle-length Skinny Jeans,6,12.8,2,42,Bottoms,Blue Raw Hem Ankle-length Skinny Jeans
Blue Raw Hem Ankle-length Skinny Jeans,8,12.8,3,42,Bottoms,Blue Raw Hem Ankle-length Skinny Jeans
Blue Raw Hem Ankle-length Skinny Jeans,10,12.8,3,42,Bottoms,Blue Raw Hem Ankle-length Skinny Jeans
Blue Raw Hem Ankle-length Skinny Jeans,12,12.8,3,42,Bottoms,Blue Raw Hem Ankle-length Skinny Jeans
Blue Raw Hem Ankle-length Skinny Jeans,14,12.8,2,42,Bottoms,Blue Raw Hem Ankle-length Skinny Jeans
Blue Raw Hem Ankle-length Skinny Jeans,16,12.8,1,42,Bottoms,Blue Raw Hem Ankle-length Skinny Jeans
Black Mixed Floral Geometric Print Ruffled Long Sleeve Blouse,S,7.9,2,32,Top,Black Mixed Floral Geometric Print Ruffled Long Sleeve Blouse
Black Mixed Floral Geometric Print Ruffled Long Sleeve Blouse,M,7.9,2,32,Top,Black Mixed Floral Geometric Print Ruffled Long Sleeve Blouse
Black Mixed Floral Geometric Print Ruffled Long Sleeve Blouse,L,7.9,2,32,Top,Black Mixed Floral Geometric Print Ruffled Long Sleeve Blouse
Black Mixed Floral Geometric Print Ruffled Long Sleeve Blouse,XL,7.9,2,32,Top,Black Mixed Floral Geometric Print Ruffled Long Sleeve Blouse
Green Tiered Ruffled Sleeves Mini Dress with Pockets,S,8.5,2,42,Dress,Green Tiered Ruffled Sleeves Mini Dress with Pockets
